 Andrew Cogliano,ANA,47,23
 Oliver Ekman-Larsson,PHO,46,23
 Matt Stajan,CGY,42,23
 Marcus Johansson,WAS,33,22
 Jay Bouwmeester,STL,46,22
 Drew Doughty,LOS,47,22
 Dennis Wideman,CGY,45,22
 Christian Ehrhoff,BUF,46,22
 Fedor Tyutin,COB,47,22
 John Carlson,WAS,47,22
 Alexander Edler,VAN,45,22
 Nathan Horton,BOS,43,22
 Jamie McGinn,COL,45,22
 Shawn Matthias,FLA,47,21
 Martin Hanzal,PHO,37,21
 Michael Del Zotto,NYR,45,21
 Kyle Palmieri,ANA,42,21
 Mike Fisher,NAS,37,21
 Mason Raymond,VAN,45,21
 Dany Heatley,MIN,36,21
 Matt Carle,TAM,47,21
 Michael Grabner,NYI,44,21
 Paul Martin,PIT,33,21
 David Moss,PHO,44,20
 Andy McDonald,STL,36,20
 Benoit Pouliot,TAM,33,20
 Mika Zibanejad,OTT,40,20
 Dan Boyle,SAN,45,20
 T.J. Oshie,STL,30,20
 Travis Zajac,NJD,47,20
 Brent Seabrook,CHI,45,20
 Ales Hemsky,EDM,38,20
 Clarke MacArthur,TOR,39,20
 Joel Ward,WAS,39,20
 Jussi Jokinen,PIT,42,20
 Matt Cooke,PIT,47,19
 Victor Hedman,TAM,43,19
 Patrick Sharp,CHI,27,19
 Alex Killorn,TAM,37,19
 Marek Zidlicky,NJD,47,19
 Josh Bailey,NYI,37,19
 Zdeno Chara,BOS,46,19
 Ryane Clowe,NYR,40,19
 Daniel Winnik,ANA,47,19
 Ryan McDonagh,NYR,46,19
 Pierre-Marc Bouchard,MIN,41,19
 Colin Wilson,NAS,25,19
 Vladimir Sobotka,STL,47,19
 Nick Foligno,COB,44,19
 Jakob Silfverberg,OTT,46,19
 Patrick Wiercioch,OTT,41,19
 John Mitchell,COL,45,19
 Brent Burns,SAN,29,18
 Nick Leddy,CHI,46,18
 Drew Stafford,BUF,45,18
 Nik Antropov,WPG,40,18
 Roman Josi,NAS,47,18
 Vladimir Tarasenko,STL,37,18
 Brandon Sutter,PIT,47,18
 Brandon Dubinsky,COB,28,18
 Marcel Goc,FLA,41,18
 R.J. Umberger,COB,47,18
 Antoine Vermette,PHO,46,18
 Artem Anisimov,COB,34,18
 Martin Havlat,SAN,40,18
 Colin Greening,OTT,45,18
 Jarret Stoll,LOS,47,18
 Jack Johnson,COB,43,18
 Raffi Torres,SAN,38,18
 Ryan O'Reilly,COL,27,18
 Joffrey Lupul,TOR,15,18
 Marcus Foligno,BUF,46,18
