 Andrew Ference               BOS 1.87818
 Peter Holland                ANA 1.87417
 Raffi Torres                 SAN 1.87174
 Kevin Shattenkirk            STL 1.86132
 Vladimir Tarasenko           STL 1.85039
 Dan Carcillo                 CHI 1.82528
 Jay Bouwmeester              STL 1.8191
 Mark Streit                  NYI 1.81872
 Jarred Tinordi               MON 1.8091
 Carl Gunnarsson              TOR 1.80134
 Dustin Penner                LOS 1.7982
 Martin Havlat                SAN 1.77816
 Jack Hillen                  WAS 1.75776
 Dan Boyle                    SAN 1.7562
 Marc Staal                   NYR 1.72193
 Jason Garrison               VAN 1.72062
 Eric Fehr                    WAS 1.7187
 Jarret Stoll                 LOS 1.69519
 Carl Hagelin                 NYR 1.67864
 Dave Steckel                 ANA 1.66972
 Craig Adams                  PIT 1.65141
 Mats Zuccarello              NYR 1.64366
 Josh Bailey                  NYI 1.62574
 Kyle Okposo                  NYI 1.61664
 Jake Muzzin                  LOS 1.60958
 Niklas Kronwall              DET 1.60406
 Zack Smith                   OTT 1.60111
 Wade Redden                  BOS 1.59993
 Chris Bourque                BOS 1.59993
 Kevin Bieksa                 VAN 1.5885
 Damien Brunner               DET 1.57191
 Jay McClement                TOR 1.56371
 Ryane Clowe                  NYR 1.56148
 Vladimir Sobotka             STL 1.53761
 Luca Sbisa                   ANA 1.53591
 Michael Del Zotto            NYR 1.53409
 John-Michael Liles           TOR 1.53404
 Davis Drewiske               MON 1.52838
 Scott Gomez                  SAN 1.51979
 Michael Grabner              NYI 1.51101
 Brooks Orpik                 PIT 1.49983
 Andre Benoit                 OTT 1.4879
 Jamal Mayers                 CHI 1.48726
 Mikhail Grabovski            TOR 1.47173
 Jordan Schroeder             VAN 1.46739
 Jake Gardiner                TOR 1.44107
 Steve Oleksy                 WAS 1.43225
 Wojtek Wolski                WAS 1.43225
 Jean-Gabriel Pageau          OTT 1.40288
 Toni Lydman                  ANA 1.38909
 Chris Phillips               OTT 1.38763
 Ryan McDonagh                NYR 1.35781
 T.J. Galiardi                SAN 1.35479
 Zack Kassian                 VAN 1.33009
 Trevor Lewis                 LOS 1.31848
 Pat Maroon                   ANA 1.31192
 Matt Bartkowski              BOS 1.30903
 Jason Chimera                WAS 1.30771
 Joe Vitale                   PIT 1.30667
 Matt Irwin                   SAN 1.28155
 Chris Neil                   OTT 1.28089
 Jordan Caron                 BOS 1.27053
 Lubomir Visnovsky            NYI 1.26637
 David Booth                  VAN 1.26358
 Tommy Wingels                SAN 1.2529
 Derek Dorsett                NYR 1.23275
 Douglas Murray               PIT 1.23201
 Deryk Engelland              PIT 1.23201
 Kyle Clifford                LOS 1.22431
 Colin McDonald               NYI 1.2232
 Francis Bouillon             MON 1.21248
 Tomas Kundratek              WAS 1.20309
 Adam Cracknell               STL 1.20113
 Bryan Allen                  ANA 1.18073
 Brad Richardson              LOS 1.18036
 Erik Condra                  OTT 1.17415
 Shawn Thornton               BOS 1.17204
 Harry Zolnierczyk            ANA 1.1245
 Andrew Ebbett                VAN 1.12318
 Todd Bertuzzi                DET 1.11415
 Valtteri Filppula            DET 1.10487
 Marc Methot                  OTT 1.09113
 Stephane Da Costa            OTT 1.09113
 Chris Porter                 STL 1.08673
 Casey Cizikas                NYI 1.07929
 Josh Gorges                  MON 1.07776
 Maxim Lapierre               VAN 1.07539
 Brad Staubitz                ANA 1.04954
 Rob Scuderi                  LOS 1.03595
 Johnny Boychuk               BOS 1.02853
 Dan Girardi                  NYR 1.02272
 Mike Kostka                  TOR 1.01723
 Jim O'Brien                  OTT 1.01588
 Tomas Tatar                  DET 1.01099
 Jordan Leopold               STL 1.00094
 Barret Jackman               STL 0.992236
 Zach Parise                  MIN 0.979543
 Dwight King                  LOS 0.962248
 Adam McQuaid                 BOS 0.959957
 Jamie Langenbrunner          STL 0.950893
 Jaden Schwartz               STL 0.950893
 Leo Komarov                  TOR 0.948997
 Kaspars Daugavins            BOS 0.939089
 Chris Tanev                  VAN 0.931061
 Mikko Koivu                  MIN 0.926595
 Eric Gryba                   OTT 0.920638
 Colin Fraser                 LOS 0.911305
 Jesse Joensuu                NYI 0.904549
 John Erskine                 WAS 0.888983
 Matt Greene                  LOS 0.885268
 Jason Pominville             MIN 0.880969
 Keith Aucoin                 NYI 0.870628
 Ryan Hamilton                TOR 0.864642
 Travis Moen                  MON 0.863434
 Dmitry Orlov                 WAS 0.85935
 Colby Armstrong              MON 0.855655
 Ryan Suter                   MIN 0.847172
 Jakub Kindl                  DET 0.844899
 Daniel Cleary                DET 0.829688
 Benn Ferriero                NYR 0.821832
 Alec Martinez                LOS 0.819693
 Dave Dziurzynski             OTT 0.818345
 Matt Cullen                  MIN 0.791577
 David Ullstrom               NYI 0.79148
 Mark Fraser                  TOR 0.786038
 Dale Weise                   VAN 0.777589
 Cam Barker                   VAN 0.777589
 Taylor Pyatt                 NYR 0.769375
 Gustav Nyquist               DET 0.742769
 Andrew MacDonald             NYI 0.74096
 Matt Martin                  NYI 0.74096
 Jay Beagle                   WAS 0.731362
 Matt Hendricks               WAS 0.731362
 Radek Martinek               NYI 0.730597
 Dany Heatley                 MIN 0.710389
 Jonathan Ericsson            DET 0.709006
 Brian Strait                 NYI 0.703538
 Justin Braun                 SAN 0.691505
 Devin Setoguchi              MIN 0.688327
 John Moore                   NYR 0.680137
 Travis Hamonic               NYI 0.6736
 Justin Abdelkader            DET 0.663751
 Tim Kennedy                  SAN 0.658577
 Kris Newbury                 NYR 0.657466
 Mikael Samuelsson            DET 0.649922
 Patrick Eaves                DET 0.630228
 Brendan Smith                DET 0.630228
 Jordan Nolan                 LOS 0.617629
 Frazer McLaren               TOR 0.617601
 Ryan O'Byrne                 TOR 0.617601
 Kris Russell                 STL 0.594308
 Korbinian Holzer             TOR 0.589529
 Marc-Edouard Vlasic          SAN 0.588515
 Pierre-Marc Bouchard         MIN 0.564351
 Joakim Andersson             DET 0.562095
 Sheldon Brookbank            CHI 0.557724
 Peter Regin                  OTT 0.545563
 Ryan Reaves                  STL 0.543367
 Jason Demers                 SAN 0.538835
 Tom Poti                     WAS 0.537094
 Marty Reasoner               NYI 0.510632
 James Sheppard               SAN 0.509866
 Jordin Tootoo                DET 0.507257
 J.T. Miller                  NYR 0.505743
 Brad Stuart                  SAN 0.504442
 Jeff Schultz                 WAS 0.495779
 Anton Stralman               NYR 0.489602
 Roman Polak                  STL 0.485562
 Drew Miller                  DET 0.472671
 Jared Spurgeon               MIN 0.460793
 Karl Alzner                  WAS 0.457101
 Chris Kreider                NYR 0.448272
 Mike Lundin                  OTT 0.44637
 Robyn Regehr                 LOS 0.442634
 Cory Emmerton                DET 0.4425
 Carlo Colaiacovo             DET 0.433282
 Brian Boyle                  NYR 0.432543
 Brian Lashoff                DET 0.419305
 Charlie Coyle                MIN 0.417535
 Ian White                    DET 0.41595
 Jeff Halpern                 MON 0.412947
 Colton Orr                   TOR 0.402159
 Tanner Glass                 PIT 0.36698
 Mikael Granlund              MIN 0.360833
 Tom Gilbert                  MIN 0.356432
 Matt Kassian                 OTT 0.350719
 Tom Sestito                  VAN 0.348574
 Thomas Hickey                NYI 0.333255
 Joey Crabb                   WAS 0.330519
 Jason Zucker                 MIN 0.320476
 Kyle Brodziak                MIN 0.31769
 Jonas Brodin                 MIN 0.311533
 Keaton Ellerby               LOS 0.308814
 Matt Carkner                 NYI 0.301516
 Steve Eminger                NYR 0.290059
 Andrew Desjardins            SAN 0.289131
 Keith Ballard                VAN 0.288819
 Cal Clutterbuck              MIN 0.274007
 Aaron Volpatti               WAS 0.268547
 Clayton Stoner               MIN 0.264741
 Adam Burish                  SAN 0.263431
 Danny DeKeyser               DET 0.259969
 Ian Cole                     STL 0.253571
 Ryan White                   MON 0.253274
 Arron Asham                  NYR 0.252872
 Torrey Mitchell              MIN 0.226569
 Kyle Quincey                 DET 0.222831
 Andrew Alberts               VAN 0.219753
 Roman Hamrlik                NYR 0.205458
 Marco Scandella              MIN 0.202968
 Joe Finley                   NYI 0.19787
 Brett Clark                  MIN 0.152226
 Mike Rupp                    MIN 0.128191
 Scott Nichol                 STL 0.126786
 Scott Hannan                 SAN 0.123483
 Justin Falk                  MIN 0.107454
 Matt Halischuk               NAS 0
