 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 James van Riemsdyk,TOR,43,11,13,24,-1,24,37,18,2,3,0.4,2,3,0,0,1,121,0.091
 Travis Hamonic,NYI,73,2,22,24,6,73,170,157,0,0,N/A,1,5,0,0,0,124,0.016
 Jamie Langenbrunner,STL,70,6,18,24,7,32,70,19,10,17,0.37,0,0,0,0,3,127,0.047
 Michal Handzus,CHI,67,7,17,24,-6,18,52,59,413,402,0.507,2,3,0,0,0,81,0.086
 Shawn Matthias,FLA,79,10,14,24,-2,49,60,38,295,302,0.494,1,1,0,0,1,133,0.075
 Mikkel Boedker,PHO,82,11,13,24,-2,12,108,21,1,1,0.5,0,1,0,0,2,86,0.128
 Tomas Holmstrom,DET,74,11,13,24,-9,40,56,6,1,0,1,10,5,0,0,3,97,0.113
 Tim Brent,CAR,79,12,12,24,-8,27,64,33,278,293,0.487,3,4,1,0,3,71,0.169
 Brian Rolston,BOS,70,7,17,24,-5,14,86,21,37,40,0.481,1,3,0,0,2,151,0.046
 Willie Mitchell,LOS,76,5,19,24,20,44,74,139,0,1,0,0,5,0,3,2,104,0.048
 Jordan Leopold,STL,79,10,14,24,4,28,54,128,0,0,N/A,1,4,0,0,0,110,0.091
 Rene Bourque,MON,76,18,6,24,-19,68,86,25,12,8,0.6,3,3,1,0,1,158,0.114
 Braydon Coburn,PHI,81,4,20,24,10,56,164,119,0,1,0,0,0,0,2,0,113,0.035
 Luca Sbisa,ANA,80,5,19,24,-5,66,186,99,0,0,N/A,0,3,0,0,0,88,0.057
 Marc-Andre Bergeron,CAR,43,4,20,24,6,20,37,43,0,0,N/A,1,8,0,0,0,80,0.05
 Marc-Edouard Vlasic,SAN,82,4,19,23,11,40,45,171,0,0,N/A,0,1,0,1,1,119,0.034
 Boyd Gordon,EDM,75,8,15,23,9,10,48,86,669,508,0.568,0,0,1,2,2,114,0.07
 Dennis Seidenberg,BOS,80,5,18,23,15,39,154,151,0,0,N/A,0,8,0,2,2,174,0.029
