PLAYER,POS,TEAM,GP,G,A,PTS,+/-,PIM,SOG,PCT,WG,TOI,PPG,PPA,SHG,SHA,SG,SA
Keith Yandle,D,PHO,1,1,2,3,1,0,5,20,0,34:38:00,0,2,1,0,0,0
Dustin Jeffrey,C,PIT,2,1,2,3,0,0,5,20,0,34:28:00,1,1,0,0,0,0
Andrew Cogliano,C,ANA,1,0,3,3,2,0,2,0,0,16:08,0,0,0,1,0,0
Torey Krug,D,BOS,2,0,3,3,-2,7,3,0,0,41:16:00,0,2,0,0,0,0
Milan Lucic,LW,BOS,2,0,3,3,-3,4,3,0,0,37:54:00,0,2,0,0,0,0
Brandon Dubinsky,C,CLB,2,0,3,3,1,2,12,0,0,45:24:00,0,0,0,0,0,0
Tim Erixon,D,CLB,2,0,3,3,1,0,3,0,0,38:06:00,0,0,0,0,0,0
Sven Baertschi,LW,CGY,3,0,3,3,1,2,3,0,0,0:00,0,1,0,0,1,1
Ben Hanowski,RW,CGY,3,0,3,3,-1,0,4,0,0,0:00,0,0,0,0,0,0
Boyd Gordon,C,EDM,2,0,3,3,2,0,1,0,0,14:37,0,0,0,0,0,0
Greg Pateryn,D,MON,1,0,3,3,1,0,3,0,0,22:54,0,2,0,0,0,0
Andy Miele,C,PHO,2,0,3,3,1,0,3,0,0,31:35:00,0,0,0,0,0,0
David Rundblad,D,PHO,2,0,3,3,0,0,3,0,0,35:43:00,0,2,0,0,0,0
Hampus Lindholm,D,ANA,2,2,0,2,-1,0,5,40,1,37:28:00,2,0,0,0,0,0
Marcus Foligno,LW,BUF,1,2,0,2,1,0,4,50,1,20:41,0,0,0,0,0,0
Johan Larsson,LW,BUF,3,2,0,2,2,2,10,20,0,50:34:00,0,0,0,0,0,0
Alexander Semin,LW,CAR,1,2,0,2,-1,2,2,100,0,19:25,1,0,0,0,0,0
Lance Bouma,C,CGY,2,2,0,2,2,2,1,200,0,16:28,0,0,0,0,0,0
Josh Jooris,C,CGY,3,2,0,2,-2,4,5,40,0,0:00,1,0,0,0,0,0
Sean Monahan,C,CGY,3,2,0,2,1,2,8,25,0,0:00,0,0,0,0,0,0
Patrick Sharp,C,CHI,2,2,0,2,1,6,9,22.2,1,35:49:00,0,0,0,0,0,0
Valeri Nichushkin,RW,DAL,2,2,0,2,-1,0,12,16.7,0,34:05:00,0,0,0,0,0,1
David Perron,LW,EDM,2,2,0,2,3,0,2,100,0,18:53,0,0,0,0,0,0
Michael Bournival,LW,MON,1,2,0,2,2,0,2,100,0,16:39,0,0,0,0,0,0
Josh Bailey,C,NYI,2,2,0,2,-2,0,3,66.7,0,40:15:00,0,0,2,0,0,0
Buddy Robinson,RW,OTT,2,2,0,2,3,0,9,22.2,0,12:12,0,0,1,0,0,0
Chuck Kobasew,RW,PIT,2,2,0,2,-1,0,10,20,0,33:23:00,1,0,0,0,0,0
Dmitrij Jaskin,RW,STL,1,2,0,2,2,0,2,100,0,0:00,0,0,0,0,0,0
Maxim Lapierre,C,STL,1,2,0,2,1,0,3,66.7,0,16:54,1,0,0,0,0,0
Brett Connolly,RW,TB,1,2,0,2,3,0,2,100,0,14:57,0,0,0,0,0,0
Adam Erne,LW,TB,1,2,0,2,0,2,2,100,0,0:00,2,0,0,0,1,1
Brendan Gaunce,C,VAN,2,2,0,2,2,0,3,66.7,0,24:37:00,0,0,0,0,0,0
Evander Kane,LW,WPG,3,2,0,2,-1,2,17,11.8,0,37:17:00,0,0,0,0,0,1
Emerson Etem,RW,ANA,2,1,1,2,1,0,4,25,0,35:53:00,0,0,0,1,0,0
Joel Armia,RW,BUF,2,1,1,2,2,0,7,14.3,0,32:05:00,0,0,0,0,0,0
Cody Hodgson,C,BUF,2,1,1,2,2,2,4,25,1,37:19:00,0,0,0,0,0,0
Chris Terry,LW,CAR,2,1,1,2,0,2,4,25,0,29:02:00,0,0,0,0,0,0
Boone Jenner,C,CLB,2,1,1,2,2,2,8,12.5,0,39:46:00,0,1,0,0,0,0
Ryan Murray,D,CLB,2,1,1,2,3,0,1,100,1,47:56:00,0,0,0,0,0,0
James Wisniewski,D,CLB,2,1,1,2,3,5,2,50,0,48:23:00,1,0,0,0,0,0
T.J. Galiardi,LW,CGY,2,1,1,2,1,2,7,14.3,1,20:21,1,0,0,0,0,0
David Jones,RW,CGY,3,1,1,2,1,4,5,20,0,0:00,0,0,0,0,0,0
Emile Poirier,LW,CGY,3,1,1,2,2,0,2,50,0,0:00,0,0,0,0,0,0
Matt Stajan,C,CGY,3,1,1,2,0,11,3,33.3,0,0:00,0,0,0,0,0,0
Erik Cole,RW,DAL,2,1,1,2,-1,0,1,100,0,39:12:00,1,1,0,0,0,0
Cody Eakin,C,DAL,2,1,1,2,0,0,9,11.1,0,39:22:00,0,0,0,0,0,0
Joakim Andersson,C,DET,2,1,1,2,2,0,2,50,0,30:12:00,0,0,0,0,0,0
Tomas Tatar,C,DET,2,1,1,2,1,0,1,100,0,28:26:00,0,1,0,0,0,0
Mark Arcobello,LW,EDM,3,1,1,2,0,0,4,25,0,34:25:00,0,0,0,0,0,0
Philip Larsen,D,EDM,2,1,1,2,0,0,1,100,0,23:45,0,0,0,0,0,0
Drew Shore,C,FLA,2,1,1,2,3,2,4,25,0,33:19:00,0,0,0,0,0,0
Brandon Kozun,RW,LA,1,1,1,2,0,4,3,33.3,0,14:50,0,0,0,0,0,0
Tanner Pearson,LW,LA,2,1,1,2,1,2,6,16.7,0,31:41:00,0,0,0,0,0,0
Charlie Coyle,C,MIN,2,1,1,2,1,0,4,25,1,40:39:00,0,1,0,0,0,0
Martin St. Pierre,C,MON,1,1,1,2,1,2,1,100,0,16:00,1,0,0,0,0,0
Jon Merrill,D,NJ,1,1,1,2,-2,0,2,50,0,18:30,0,1,0,0,0,0
Rostislav Olesz,C,NJ,2,1,1,2,-2,0,3,33.3,0,34:08:00,1,0,0,0,0,0
Matt Cullen,C,NSH,2,1,1,2,-1,0,2,50,0,32:42:00,0,1,1,0,0,0
Anders Lee,C,NYI,2,1,1,2,-1,0,2,50,0,14:23,1,0,0,0,0,0
Matt Moulson,LW,NYI,1,1,1,2,-1,0,4,25,0,0:00,1,1,0,0,0,0
John Tavares,C,NYI,1,1,1,2,-2,2,2,50,0,0:00,1,1,0,0,0,0
Derick Brassard,C,NYR,1,1,1,2,2,2,1,100,0,17:49,0,0,0,0,0,0
Milan Michalek,LW,OTT,2,1,1,2,1,0,3,33.3,0,39:27:00,1,0,0,0,0,0
Bobby Ryan,RW,OTT,2,1,1,2,0,2,6,16.7,1,35:05:00,0,0,0,0,0,0
Jason Akeson,C,PHI,2,1,1,2,0,2,2,50,0,30:21:00,0,0,0,0,0,1
Nick Cousins,C,PHI,2,1,1,2,0,0,3,33.3,0,18:34,0,0,0,0,1,1
Brayden Schenn,C,PHI,2,1,1,2,0,0,4,25,0,20:34,0,0,0,0,0,1
Shane Doan,RW,PHO,1,1,1,2,0,0,4,25,1,16:51,1,1,0,0,0,0
Joe Pavelski,C,SJ,1,1,1,2,0,0,6,16.7,0,17:15,0,1,0,0,0,0
Tommy Wingels,C,SJ,1,1,1,2,0,0,2,50,1,18:27,1,0,0,0,0,0
Ryan Reaves,RW,STL,1,1,1,2,1,0,3,33.3,0,13:39,0,0,0,0,0,0
Jamie Devane,LW,TOR,3,1,1,2,-1,11,2,50,0,15:37,0,0,0,0,0,0
James van Riemsdyk,LW,TOR,2,1,1,2,1,0,3,33.3,0,39:57:00,0,0,0,0,1,1
Troy Brouwer,RW,WAS,2,1,1,2,1,0,4,25,0,0:00,1,0,0,0,1,1
Jakob Silfverberg,LW,ANA,2,0,2,2,-1,0,2,0,0,33:39:00,0,1,0,0,0,0
Ryan Spooner,C,BOS,2,0,2,2,1,0,5,0,0,27:58:00,0,1,0,0,0,0
Ville Leino,LW,BUF,2,0,2,2,1,0,1,0,0,31:04:00,0,0,0,0,0,0
Radek Dvorak,RW,CAR,1,0,2,2,1,0,1,0,0,12:30,0,0,0,0,0,0
Jay Harrison,D,CAR,1,0,2,2,0,0,3,0,0,21:47,0,0,0,0,0,0
Michal Jordan,D,CAR,2,0,2,2,0,0,1,0,0,36:40:00,0,1,0,0,0,0
Blake Comeau,RW,CLB,2,0,2,2,2,2,1,0,0,30:47:00,0,0,0,0,0,0
Nick Foligno,LW,CLB,2,0,2,2,-1,0,1,0,0,35:20:00,0,1,0,0,0,0
Nikita Nikitin,D,CLB,2,0,2,2,1,4,1,0,0,48:08:00,0,1,0,0,0,0
Derek Smith,D,CGY,2,0,2,2,0,0,0,0,0,21:10,0,0,0,0,0,0
Lee Stempniak,RW,CGY,2,0,2,2,2,0,2,0,0,20:08,0,1,0,0,0,0
Alex Chiasson,RW,DAL,2,0,2,2,0,4,2,0,0,33:07:00,0,2,0,0,1,1
Jakub Kindl,D,DET,2,0,2,2,1,4,1,0,0,29:28:00,0,1,0,0,0,0
Brendan Smith,D,DET,1,0,2,2,0,2,0,0,0,22:32,0,1,0,0,0,0
Taylor Fedun,D,EDM,1,0,2,2,0,0,0,0,0,0:00,0,1,0,0,0,0
Brad Hunt,D,EDM,1,0,2,2,2,0,0,0,0,15:30,0,0,0,0,0,0
Nail Yakupov,RW,EDM,2,0,2,2,0,0,4,0,0,20:46,0,0,0,0,0,0
Vincent Trocheck,C,FLA,2,0,2,2,0,4,1,0,0,32:16:00,0,0,0,0,0,0
Mikael Granlund,C,MIN,2,0,2,2,1,0,3,0,0,38:47:00,0,1,0,0,0,0
Francis Bouillon,D,MON,1,0,2,2,0,0,1,0,0,22:47,0,1,0,0,0,0
David Desharnais,C,MON,1,0,2,2,0,2,1,0,0,16:09,0,2,0,0,0,0
Michael McCarron,RW,MON,1,0,2,2,1,2,2,0,0,14:48,0,1,0,0,0,0
Jarred Tinordi,D,MON,2,0,2,2,-1,5,3,0,0,40:06:00,0,1,0,0,0,0
Colin Wilson,C,NSH,2,0,2,2,-1,0,3,0,0,32:47:00,0,1,0,0,0,0
Kyle Okposo,RW,NYI,2,0,2,2,-1,0,1,0,0,40:32:00,0,0,0,2,0,0
Erik Karlsson,D,OTT,2,0,2,2,1,0,4,0,0,55:20:00,0,1,0,0,0,0
Troy Rutkowski,D,OTT,2,0,2,2,-1,6,2,0,0,15:53,0,0,0,0,0,0
Patrick Wiercioch,D,OTT,1,0,2,2,2,2,2,0,0,22:07,0,0,0,0,0,0
Hal Gill,D,PHI,2,0,2,2,1,0,2,0,0,15:17,0,0,0,0,0,0
Nicklas Grossmann,D,PHI,2,0,2,2,-1,2,2,0,0,19:27,0,0,0,0,0,0
Andrew Ebbett,C,PIT,1,0,2,2,1,0,1,0,0,19:38,0,1,0,0,0,0
Tom Kuhnhackl,RW,PIT,1,0,2,2,1,0,1,0,0,14:26,0,1,0,0,0,0
Chris Kunitz,LW,PIT,2,0,2,2,-1,0,3,0,0,38:59:00,0,1,0,0,0,0
Sergei Andronov,RW,STL,1,0,2,2,1,2,2,0,0,14:45,0,1,0,0,0,0
J.T. Brown,RW,TB,1,0,2,2,-2,0,0,0,0,0:00,0,1,0,0,0,0
Victor Hedman,D,TB,1,0,2,2,2,0,1,0,0,23:42,0,0,0,0,0,0
Henrik Tommernes,D,VAN,1,0,2,2,2,2,0,0,0,16:41,0,0,0,0,0,0
Eric Fehr,RW,WAS,1,0,2,2,0,2,4,0,0,18:48,0,1,0,0,0,1
Nathan Walker,C,WAS,2,0,2,2,2,0,4,0,0,0:00,0,0,0,0,0,0
Devin Setoguchi,RW,WPG,3,0,2,2,1,4,7,0,0,28:00:00,0,0,0,0,0,1
Eric Tangradi,LW,WPG,2,0,2,2,-1,0,5,0,0,16:23,0,1,0,0,0,0
Teemu Selanne,RW,ANA,1,1,0,1,0,0,3,33.3,0,17:12,0,0,0,0,0,0
Devante Smith-Pelly,RW,ANA,2,1,0,1,-2,4,1,100,0,28:23:00,1,0,0,0,0,0
Sami Vatanen,D,ANA,2,1,0,1,1,0,4,25,0,43:55:00,0,0,0,0,0,0
Daniel Winnik,LW,ANA,2,1,0,1,2,0,3,33.3,0,30:34:00,0,0,0,0,0,0
Nolan Yonkman,D,ANA,2,1,0,1,0,4,3,33.3,1,37:24:00,0,0,1,0,0,0
Justin Florek,LW,BOS,1,1,0,1,1,0,3,33.3,0,0:00,0,0,0,0,0,0
Chris Kelly,C,BOS,1,1,0,1,1,0,5,20,0,0:00,0,0,0,0,0,1
David Krejci,C,BOS,2,1,0,1,-3,0,3,33.3,0,41:56:00,1,0,0,0,0,0
Zach Trotman,D,BOS,2,1,0,1,-1,2,4,25,0,41:21:00,1,0,0,0,0,0
Colton Gillies,C,BUF,2,1,0,1,0,2,2,50,0,16:49,0,0,0,0,0,0
Mikhail Grigorenko,C,BUF,3,1,0,1,2,0,3,33.3,0,42:05:00,0,0,0,0,1,1
Jamie McBain,D,BUF,1,1,0,1,1,0,2,50,0,23:21,0,0,0,0,0,0
Zach Boychuk,C,CAR,1,1,0,1,0,0,3,33.3,0,13:09,0,0,0,0,0,0
Eric Staal,C,CAR,1,1,0,1,1,2,3,33.3,0,19:29,0,0,0,0,0,0
Jeremy Welsh,C,CAR,2,1,0,1,-4,0,4,25,0,26:38:00,0,0,0,0,0,0
Artem Anisimov,C,CLB,2,1,0,1,1,0,4,25,0,40:14:00,1,0,0,0,0,0
Sean Collins,C,CLB,2,1,0,1,-1,0,1,100,1,20:18,0,0,0,0,0,0
Mikael Backlund,C,CGY,3,1,0,1,3,2,8,12.5,1,0:00,0,0,0,0,0,0
Mike Cammalleri,LW,CGY,1,1,0,1,0,0,0,0,0,0:00,0,0,0,0,0,0
Ben Street,RW,CGY,2,1,0,1,-1,0,0,0,0,14:48,0,0,0,0,0,0
Brandon Bollig,LW,CHI,2,1,0,1,0,2,1,100,0,20:06,0,0,0,0,0,0
Paul Stastny,C,COL,1,1,0,1,1,4,1,100,0,19:09,0,0,0,0,0,0
Jamie Benn,LW,DAL,2,1,0,1,-2,0,9,11.1,0,40:12:00,1,0,0,0,1,2
Kevin Connauton,D,DAL,1,1,0,1,0,0,4,25,0,21:01,0,0,0,0,0,0
Justin Abdelkader,LW,DET,2,1,0,1,1,2,5,20,0,31:15:00,1,0,0,0,0,0
Daniel Cleary,RW,DET,2,1,0,1,0,2,3,33.3,0,34:27:00,0,0,0,0,0,0
Danny DeKeyser,D,DET,2,1,0,1,2,0,2,50,0,40:26:00,0,0,0,0,0,0
David McIntyre,C,DET,1,1,0,1,1,5,3,33.3,0,9:31,0,0,0,0,0,0
Taylor Hall,LW,EDM,2,1,0,1,1,6,6,16.7,0,16:31,0,0,0,0,0,1
Ryan Jones,RW,EDM,2,1,0,1,1,18,1,100,0,16:14,1,0,0,0,0,0
Mitchell Moroz,LW,EDM,1,1,0,1,1,0,2,50,0,8:50,0,0,0,0,0,0
Kyle Platzer,C,EDM,1,1,0,1,0,0,0,0,0,0:00,0,0,0,0,0,0
Ryan Smyth,LW,EDM,2,1,0,1,0,0,3,33.3,0,15:07,1,0,0,0,0,0
Brad Boyes,C,FLA,2,1,0,1,1,0,5,20,1,38:23:00,0,0,0,0,0,1
Tomas Fleischmann,C,FLA,1,1,0,1,0,0,5,20,1,19:25,0,0,0,0,0,0
Jared Gomes,LW,FLA,1,1,0,1,1,0,2,50,0,16:18,0,0,0,0,0,0
Quinton Howden,C,FLA,2,1,0,1,1,2,3,33.3,0,27:48:00,0,0,0,0,0,0
Tomas Kopecky,C,FLA,2,1,0,1,0,0,4,25,0,36:25:00,1,0,0,0,0,0
Anze Kopitar,C,LA,2,1,0,1,3,0,3,33.3,0,37:30:00,0,0,0,0,0,0
Scott Sabourin,RW,LA,2,1,0,1,1,7,4,25,0,20:32,0,0,0,0,0,0
Slava Voynov,D,LA,2,1,0,1,4,0,6,16.7,0,45:04:00,0,0,0,0,0,0
Mathew Dumba,D,MIN,2,1,0,1,1,2,6,16.7,0,46:49:00,0,0,0,0,0,0
Kris Foucault,LW,MIN,1,1,0,1,1,0,1,100,0,8:42,0,0,0,0,0,0
Steve Kampfer,D,MIN,1,1,0,1,2,0,1,100,0,18:30,0,0,1,0,0,0
Nino Niederreiter,RW,MIN,2,1,0,1,0,0,5,20,0,32:25:00,1,0,0,0,0,0
Travis Moen,LW,MON,1,1,0,1,1,2,1,100,0,14:15,0,0,0,0,0,0
Erik Nystrom,LW,MON,1,1,0,1,0,0,1,100,0,11:06,1,0,0,0,0,0
Max Pacioretty,LW,MON,1,1,0,1,0,0,1,100,0,18:59,1,0,0,0,0,0
P.K. Subban,D,MON,1,1,0,1,0,0,2,50,0,21:46,1,0,0,0,0,0
Mattias Tedenby,LW,NJ,1,1,0,1,1,0,1,100,0,15:03,0,0,0,0,0,0
Marek Zidlicky,D,NJ,1,1,0,1,-1,0,4,25,0,19:52,0,0,0,0,0,0
Gabriel Bourque,LW,NSH,1,1,0,1,0,0,4,25,0,19:36,0,0,0,0,0,0
Filip Forsberg,C,NSH,2,1,0,1,-2,2,6,16.7,0,31:09:00,0,0,0,0,0,0
Kevin Henderson,LW,NSH,2,1,0,1,1,0,1,100,0,23:51,0,0,0,0,0,0
Craig Smith,C,NSH,1,1,0,1,1,2,3,33.3,0,14:11,0,0,0,0,0,0
Shea Weber,D,NSH,2,1,0,1,-2,4,4,25,0,47:48:00,1,0,0,0,0,0
Eric Boulton,LW,NYI,2,1,0,1,0,20,2,50,1,7:09,0,0,0,0,0,0
Michael Grabner,RW,NYI,1,1,0,1,2,0,2,50,0,19:36,0,0,0,0,0,0
Peter Regin,C,NYI,2,1,0,1,3,0,4,25,0,31:49:00,0,0,0,0,0,0
Griffin Reinhart,D,NYI,2,1,0,1,1,0,1,100,0,38:04:00,0,0,0,0,0,0
Riley Wetmore,RW,NYI,1,1,0,1,0,0,3,33.3,0,15:10,0,0,0,0,0,0
Dominic Moore,C,NYR,2,1,0,1,0,0,2,50,0,28:44:00,0,0,0,0,0,0
Benoit Pouliot,LW,NYR,1,1,0,1,2,0,2,50,1,14:16,0,0,0,0,0,0
Darroll Powe,LW,NYR,2,1,0,1,-1,2,2,50,0,24:00:00,0,0,0,0,0,0
Mark Borowiecki,D,OTT,2,1,0,1,3,7,1,100,1,17:40,0,0,0,0,0,0
Fredrik Claesson,D,OTT,1,1,0,1,1,0,1,100,0,16:06,0,0,0,0,0,0
Cory Conacher,LW,OTT,2,1,0,1,0,6,8,12.5,0,13:12,0,0,0,0,0,0
Clarke MacArthur,LW,OTT,1,1,0,1,2,0,2,50,0,0:00,0,0,0,0,0,0
Andre Petersson,RW,OTT,1,1,0,1,1,0,4,25,0,11:52,0,0,0,0,0,0
Doug Clarkson,RW,PHI,1,1,0,1,0,7,4,25,0,0:00,0,0,0,0,0,0
Bruno Gervais,D,PHI,1,1,0,1,0,0,2,50,0,20:53,0,0,0,0,0,0
Vincent Lecavalier,C,PHI,2,1,0,1,-2,0,4,25,0,38:26:00,1,0,0,0,0,1
Luke Schenn,D,PHI,2,1,0,1,0,0,4,25,0,21:04,0,0,0,0,0,0
Maxime Talbot,C,PHI,2,1,0,1,1,0,3,33.3,0,36:31:00,0,0,0,0,0,1
Mikkel Boedker,RW,PHO,1,1,0,1,0,0,3,33.3,0,16:13,1,0,0,0,0,0
Gilbert Brule,C,PHO,2,1,0,1,-4,4,2,50,0,29:22:00,1,0,0,0,0,0
Rob Klinkhammer,LW,PHO,2,1,0,1,-1,2,1,100,1,33:03:00,1,0,0,0,0,0
