 Name,Team,GP,GS,MIN,W,L,OTL,EGA,GA,GAA,SA,SV,SV%,SO
 Andrew Raycroft,DAL,10,8,529,2,8,0,2,31,3.51,303,272,0.898,0
 Anton Khudobin,CAR,1,1,60,1,0,0,0,1,1,45,44,0.978,0
 Dustin Tokarski,MON,5,5,244,1,3,1,1,14,3.45,116,102,0.879,0
 Anders Nilsson,NYI,4,3,218,1,2,0,0,10,2.75,112,102,0.911,1
 Dan Ellis,DAL,10,5,419,1,5,0,1,19,2.72,214,195,0.911,0
 Leland Irving,CGY,7,7,394,1,3,3,0,21,3.19,239,218,0.912,0
 Sebastien Caron,NAS,3,2,135,1,1,0,0,7,3.12,57,50,0.877,0
 Curtis McElhinney,COB,2,1,72,1,0,0,0,2,1.67,36,34,0.944,0
 Brian Boucher,PHI,10,8,546,1,6,1,1,31,3.4,260,229,0.881,0
 Iiro Tarkki,ANA,1,0,41,1,0,0,0,3,4.41,10,7,0.7,0
 Henrik Karlsson,CHI,9,7,454,1,4,2,1,24,3.17,239,215,0.9,0
 Brian Foster,FLA,1,0,5,0,0,0,0,0,0,1,1,1,0
 Shawn Hunwick,COB,1,0,3,0,0,0,0,0,0,0,0,N/A,0
 Jussi Rynnas,TOR,2,1,99,0,1,0,0,7,4.25,40,33,0.825,0
 Mike Murphy,CAR,2,0,36,0,1,0,1,0,0,9,9,1,0
 Peter Mannino,WPG,1,0,20,0,0,0,1,0,0,4,4,1,0
 Drew MacIntyre,TOR,2,0,43,0,0,0,0,1,1.38,18,17,0.944,0
 Yann Danis,PHI,1,0,32,0,0,0,0,2,3.7,12,10,0.833,0
