MIN,W,8,25,18,3,46
CHI,W,1,35,6,5,46
NYI,E,8,24,17,6,47
PIT,E,1,35,12,0,47
DET,W,7,23,16,8,47
ANA,W,2,30,11,6,47
NYR,E,7,25,18,4,47
BOS,E,2,28,13,5,46
SAN,W,6,25,15,7,47
VAN,W,3,26,14,7,47
OTT,E,6,24,16,6,46
WAS,E,3,26,18,3,47
LOS,W,5,26,16,5,47
STL,W,4,28,17,2,47
TOR,E,5,26,16,5,47
MON,E,4,28,14,5,47
